,Ship Number,Ship Name,Engagement Date,Engagement Place,Discharge Date,Discharge Place,F or H,Rank,USA Immigration Notes,card_verification
,168876,City of Chester,15/04/1947,Unknown,07/10/1947,151,F,Chief Steward,"Arrived in New york 15th May 1947, sailing from Montreal","CHECKED: 'Arrived New York 15th May 1947, sailing from Montreal' matches the card (IMG_5662) exactly — Quebec/Montreal early May, New York arrival 15 May 1947."
,168876,City of Chester,23/10/1947,150,30/10/1947,151,F,Chief Steward,,CHECKED (assumed discharge date): card (IMG_5662) confirms the ship was in Liverpool continuously from 19 Oct to 7 Nov 1947 — consistent with the engage/discharge window.
,168876,City of Chester,30/10/1947,150,21/02/1949,151,F,Chief Steward,"Hall Line Ltd, Arrived in New York 26th Jan 1948 having sailed from Capetown. Arrived in New York 22 May 1948 from port elizabeth, sa. Arrived in New York 17th sept, departed from Mombassa 14th Aug.","CHECKED: all 3 immigration notes corroborated by cards (IMG_5662/5663) — 26 Jan 1948 ex-Cape Town (card: NY arrival 25 Jan, 1 day off); 22 May 1948 ex-Port Elizabeth (card: exact match); 17 Sept ex-Mombasa 14 Aug (card: exact match on both dates)."
,140559,City of Florence,04/04/1949,Glasgow,14/04/1949,Birkenhead,H,Chief Steward,,
,182488,City of Brooklyn,25/05/1949,150,09/06/1950,Liverpool,H,Chief Steward,"Arrived in New York 12th June 1949, sailing from Newcastle","CHECKED: 'Arrived New York 12th June 1949, sailing from Newcastle' matches the card (IMG_5666) exactly — this was the ship's maiden voyage (launched 8 Dec 1948), Tyne sailing 1 June, New York arrival 12 June 1949."
,145885,City of Tokio,19/06/1950,,29/06/1950,Birkenhead,,Chief Steward,,
,147349,City of Leicester,23/09/1950,Unknown,03/10/1950,Unknown (P.Lan),H,Purser,,
,149679,City of Lille,02/11/1950,P.Lan,08/12/1950,,,,,
,145892,City of Durban,28/12/1950,Birkenhead,27/03/1951,Liverpool,F,Purser and Chief Steward,,
,145892,City of Durban,28/03/1950,Liverpool,11/04/1951,Unknown,H,Purser and Chief Steward,,"LIKELY TYPO: engagement date 28/03/1950 sits between a discharge on 27/03/1951 and the next engagement on 23/04/1951 — almost certainly should read 28/03/1951, not 1950. Left as originally recorded pending your confirmation."
,145892,City of Durban,23/04/1951,P.Lan,25/04/1951,P.Lan,H,Purser and Chief Steward,,
,145892,City of Durban,7/9/51,Unknown,08/09/1951,Unknown,H,Purser and Chief Steward,,
,186857,Rodsley,,,21/12/1963,,,,,
